Photon Energy [eV]	Sample Current [A]_000	Mesh Current [A]_000	Sample/Mesh [adim.]_000	Reference Current [A]_000	Sample Current [A]_001	Mesh Current [A]_001	Sample/Mesh [adim.]_001	Reference Current [A]_001	Sample Current [A]_002	Mesh Current [A]_002	Sample/Mesh [adim.]_002	Reference Current [A]_002	Sample Current [A]_SUM	Mesh Current [A]_SUM	Sample/Mesh [adim.]_SUM	Reference Current [A]_SUM
713.800000	-1.058021E-12	3.378560E-13	-3.131572	-1.034039E-12	-3.374619E-13	3.099022E-13	-1.088930	5.509648E-13	-1.196425E-14	3.397667E-13	-0.035213	9.521850E-13	-1.407447E-12	9.875249E-13	-4.255716	4.691112E-13
713.900000	-1.601853E-12	3.069036E-13	-5.219402	-9.928134E-13	1.153879E-13	3.262597E-13	0.353669	1.568112E-12	-4.131020E-13	3.460122E-13	-1.193894	2.668989E-13	-1.899567E-12	9.791756E-13	-6.059627	8.421976E-13
714.000000	-8.053794E-13	3.244083E-13	-2.482611	3.534040E-13	-1.140527E-12	3.411243E-13	-3.343436	-5.614684E-13	7.193311E-13	3.502455E-13	2.053791	2.697248E-12	-1.226576E-12	1.015778E-12	-3.772256	2.489184E-12
714.100000	-5.819224E-13	3.162925E-13	-1.839824	-3.469010E-13	4.016595E-13	3.345194E-13	1.200706	1.925727E-12	-1.682868E-12	3.665395E-13	-4.591232	-1.465625E-12	-1.863131E-12	1.017351E-12	-5.230349	1.132004E-13
714.200000	9.382030E-13	3.014753E-13	3.112039	3.175478E-12	7.780719E-13	3.335119E-13	2.332966	2.407265E-12	-5.847496E-13	3.436774E-13	-1.701449	2.802423E-13	1.131525E-12	9.786647E-13	3.743556	5.862985E-12
714.300000	-2.199241E-12	3.334474E-13	-6.595467	-1.975887E-12	2.091120E-12	3.591011E-13	5.823208	4.584734E-12	-8.192185E-13	3.417531E-13	-2.397106	-2.287025E-13	-9.273400E-13	1.034302E-12	-3.169366	2.380145E-12
714.400000	4.021227E-12	3.468498E-13	11.593569	7.744016E-12	-1.408494E-12	3.301734E-13	-4.265923	-5.316684E-13	-2.935332E-12	3.601319E-13	-8.150713	-3.255365E-12	-3.225990E-13	1.037155E-12	-0.823066	3.956983E-12
714.500000	1.174624E-12	3.470078E-13	3.385008	3.129386E-12	1.922510E-13	3.315924E-13	0.579781	1.275941E-12	-1.276988E-12	3.432389E-13	-3.720405	-1.258890E-12	8.988722E-14	1.021839E-12	0.244384	3.146437E-12
714.600000	-1.576833E-12	3.628047E-13	-4.346231	-2.181596E-12	-2.291138E-12	3.640668E-13	-6.293179	-2.539238E-12	-2.886228E-12	3.452306E-13	-8.360289	-3.420777E-12	-6.754199E-12	1.072102E-12	-18.999700	-8.141611E-12
714.700000	-3.357414E-13	3.541727E-13	-0.947960	7.355756E-13	-2.383865E-12	3.291076E-13	-7.243422	-2.493614E-12	7.692209E-13	3.369322E-13	2.283014	2.604929E-12	-1.950386E-12	1.020212E-12	-5.908367	8.468899E-13
714.800000	-1.021621E-12	3.272095E-13	-3.122223	-1.106769E-12	-2.164544E-12	3.280526E-13	-6.598161	-2.289842E-12	6.432123E-13	3.461172E-13	1.858366	2.440091E-12	-2.542953E-12	1.001379E-12	-7.862019	-9.565204E-13
714.900000	-9.290025E-13	3.540031E-13	-2.624278	-8.210152E-13	-5.853648E-13	3.366419E-13	-1.738835	4.692537E-13	-1.309454E-12	3.303209E-13	-3.964188	-1.337720E-12	-2.823821E-12	1.020966E-12	-8.327301	-1.689481E-12
715.000000	-2.217889E-12	3.251351E-13	-6.821440	-1.966490E-12	-3.396359E-12	3.404777E-13	-9.975275	-4.076059E-12	-1.078336E-12	3.445282E-13	-3.129891	1.471572E-13	-6.692583E-12	1.010141E-12	-19.926606	-5.895392E-12
715.100000	4.776587E-13	3.205495E-13	1.490125	1.975688E-12	4.930908E-13	3.530990E-13	1.396466	1.854880E-12	-9.577719E-13	3.236452E-13	-2.959326	-1.446890E-14	1.297755E-14	9.972937E-13	-0.072736	3.816099E-12
715.200000	-2.311241E-12	3.179841E-13	-7.268416	-2.137181E-12	-2.425017E-12	3.221296E-13	-7.528079	-2.579509E-12	1.004111E-12	3.385608E-13	2.965822	2.699625E-12	-3.732147E-12	9.786745E-13	-11.830674	-2.017065E-12
715.300000	-2.640629E-12	3.363362E-13	-7.851159	-2.543421E-12	-7.158101E-13	3.380151E-13	-2.117687	1.224043E-13	4.302762E-13	3.006481E-13	1.431162	1.497366E-12	-2.926163E-12	9.749994E-13	-8.537684	-9.236508E-13
715.400000	-2.195501E-12	3.192864E-13	-6.876275	-2.051496E-12	-2.967285E-13	3.323674E-13	-0.892772	5.672402E-13	-1.910802E-12	3.414282E-13	-5.596499	-2.037909E-12	-4.403032E-12	9.930820E-13	-13.365546	-3.522165E-12
715.500000	7.959328E-13	3.307322E-13	2.406578	2.063531E-12	-4.050795E-12	3.539312E-13	-11.445148	-4.776833E-12	-1.087304E-12	3.375409E-13	-3.221252	-1.062508E-14	-4.342166E-12	1.022204E-12	-12.259823	-2.723927E-12
715.600000	-6.996641E-13	3.419066E-13	-2.046361	-1.872949E-13	-4.457836E-12	3.449832E-13	-12.921896	-5.939581E-12	-1.552793E-12	3.458812E-13	-4.489382	-1.706345E-12	-6.710294E-12	1.032771E-12	-19.457639	-7.833221E-12
715.700000	-2.431174E-12	3.506611E-13	-6.933116	-1.438271E-12	9.375816E-13	3.539778E-13	2.648701	3.002153E-12	-3.447844E-12	3.494369E-13	-9.866857	-4.217278E-12	-4.941436E-12	1.054076E-12	-14.151272	-2.653395E-12
715.800000	-3.793418E-12	3.324252E-13	-11.411344	-3.813510E-12	-2.422120E-12	3.193195E-13	-7.585257	-2.349264E-12	-3.106619E-12	3.523638E-13	-8.816510	-3.217488E-12	-9.322157E-12	1.004108E-12	-27.813110	-9.380262E-12
715.900000	-2.910272E-14	3.364161E-13	-0.086508	2.215551E-12	-2.591752E-12	3.371737E-13	-7.686695	-2.238521E-12	-4.033171E-12	3.385916E-13	-11.911608	-5.215253E-12	-6.654025E-12	1.012181E-12	-19.684811	-5.238222E-12
716.000000	-3.107897E-12	3.371920E-13	-9.216995	-3.009529E-12	-3.452398E-12	3.549578E-13	-9.726220	-3.832763E-12	-3.710694E-12	3.730140E-13	-9.947869	-4.571008E-12	-1.027099E-11	1.065164E-12	-28.891084	-1.141330E-11
716.100000	1.730945E-12	3.245462E-13	5.333431	3.547760E-12	9.066693E-13	3.499011E-13	2.591216	2.791288E-12	-2.716490E-12	3.442953E-13	-7.890000	-2.444148E-12	-7.887588E-14	1.018743E-12	0.034647	3.894901E-12
716.200000	-3.467137E-12	2.978636E-13	-11.640016	-3.557149E-12	-2.042389E-13	3.523189E-13	-0.579699	6.915998E-13	-6.892975E-13	3.319697E-13	-2.076387	6.677519E-14	-4.360673E-12	9.821523E-13	-14.296102	-2.798774E-12
716.300000	-4.064986E-12	3.106743E-13	-13.084396	-4.145849E-12	-1.955810E-13	3.492315E-13	-0.560033	8.825962E-13	-2.241504E-12	3.348017E-13	-6.695018	-2.373051E-12	-6.502070E-12	9.947076E-13	-20.339447	-5.636304E-12
716.400000	-3.515496E-12	3.464541E-13	-10.147076	-3.866188E-12	-1.983611E-12	3.295013E-13	-6.020041	-2.061015E-12	-5.450529E-12	3.340275E-13	-16.317607	-7.078724E-12	-1.094964E-11	1.009983E-12	-32.484724	-1.300593E-11
716.500000	-1.620100E-12	3.361782E-13	-4.819170	-9.884882E-13	-2.226339E-12	3.412126E-13	-6.524786	-2.499986E-12	-3.681015E-13	3.447520E-13	-1.067728	8.741558E-14	-4.214541E-12	1.022143E-12	-12.411684	-3.401059E-12
716.600000	-6.341000E-14	3.343641E-13	-0.189644	1.821923E-12	3.007723E-12	3.522756E-13	8.537981	5.388402E-12	-1.304601E-12	3.490270E-13	-3.737822	-8.204255E-13	1.639712E-12	1.035667E-12	4.610516	6.389899E-12
